Volume.mL,pH
0,1.44
0.5,1.52
1,1.57
1.5,1.63
2,1.69
2.5,1.75
3,1.8
3.5,1.85
4,1.9
4.5,2
5,2.05
5.5,2.1
6,2.15
6.5,2.22
6.7,2.25
6.9,2.29
7.2,2.33
7.5,2.38
7.8,2.42
8.1,2.47
8.5,2.56
9,2.68
9.3,2.78
9.5,2.84
9.9,2.98
10.2,3.14
10.4,3.35
10.6,3.68
10.7,3.93
10.8,4.1
11,4.7
11.1,4.91
11.2,5.12
11.3,5.18
11.5,5.35
11.7,5.42
11.9,5.55
12.1,5.64
12.3,5.73
12.5,5.79
12.8,5.9
13.1,5.98
13.5,6.07
13.9,6.16
14.4,6.27
14.9,6.36
15.4,6.44
15.9,6.52
16.5,6.61
16.8,6.68
17.4,6.78
17.6,6.82
18,6.88
18.5,6.96
18.9,7.07
19.4,7.17
19.9,7.3
20.3,7.39
20.5,7.46
20.7,7.54
20.9,7.63
21.2,7.78
21.4,7.93
21.6,8.1
21.8,8.33
22,8.87
22.1,9.06
22.2,9.41
22.3,9.75
22.4,9.83
22.6,10.03
22.7,10.19
22.9,10.32
23.1,10.47
23.2,10.5
23.5,10.63
24,10.8
24.2,10.86
24.4,10.91
24.6,10.97
24.8,11.01
25,11.05
25.5,11.15
26,11.24
26.5,11.32
27,11.38
